delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
8.0,90.0,Bella Vita Organic Ceo Perfume For Women - 100 Ml,8.0,8.0,4.0,Bella Vita,88.0,15.0
2.0,100.0,Children My First Librarian Book ( Set of 10 ),2.0,2.0,4.0,Nepal Toys Store,78.0,15.0
2.0,97.0,V14 Drone 4K Profession HD Wide Angle Camera 1080P WiFi FPV Drone Dual Camera Height Keep Drone Camera,2.0,2.0,4.0,ASAP Store,75.0,1.0
2.0,100.0,Custom Mens Body Building Training Jogging Running Shorts Men's Single Layer GYM Athletic Fitness Short Pants,2.0,2.0,5.0,Fashion_House,71.0,3.0
13.0,83.0,Black Ankle Cut Printed Bandana Synthetic Round Toe Lace-Up Closure Medium Black Ankle Cut Printed Bandana Synthetic Round Toe Lace-Up Closure Medium Width Casual/Sport Sneakers For WomenCasual/Sport Sneakers For Men And Women,13.0,13.0,5.0,Badimalika Impex,84.0,10.0
75.0,100.0,"OnePlus Nord CE3 5G |12GB RAM, 256 GB Storage | Snapdragon™ 782G | 80W SUPERVOOC Charge | 17.02cm 120 Hz Fluid AMOLED + Dual Speakers",75.0,75.0,5.0,ONE PLUS,92.0,1.0
17.0,100.0,Bandana Print Premium Fashion Sneakers For Men,17.0,17.0,4.3,Shoes Spot,76.0,10.0
1.0,100.0,Artificial Fabric Made Ivy Garlands Round Leafs Creepers Silk Greenery Hanging Vines Garlands Creeper Leaves for Decoration( 5 Pec in One Packet),1.0,1.0,4.0,Mero Interior,73.0,15.0
5.0,0.0,HIMSTAR 32 inch HD Smart Television - HT-32SFE0NI/VI,5.0,5.0,4.9,Smart Enterprises,100.0,1.0
1.0,95.0,6in1 Baby Carrier Upto 20kg 0-36 Months Baby Carrier Bag,1.0,1.0,4.3,Royal fitness,80.0,15.0
502.0,99.0,Pack Of 2 Storage Box Foldable Large Capacity Oxford Cloth Clothes Sundries Organizer Case For Household 66ltr,502.0,502.0,4.3,7Rings,85.0,0.0
52.0,97.0,Half Zip Chain Sweatshirt For Women,52.0,52.0,4.3,Tailor Stitch,83.0,10.0
3.0,0.0,Crocodile | Medium (24 inch) | Hard | 100% Polypropylene (PP) | 8 Wheeler Travel | Expandable | Anti Theft | TSA Lock,3.0,3.0,4.3,Crocodile Nepal Official,88.0,1.0
3.0,94.0,Triple Camera K6 Max Drone for Outdoor-,3.0,3.0,4.8,New Idea,78.0,1.0
1.0,100.0,Levis 511™ Slim Denim Pant (Jeans) For Men 18298-1302,1.0,1.0,4.8,Levis,91.0,1.0
9.0,100.0,OGAS Spot - Water Spot And Stain Remover for Car's Windows and All Hard Surfaces,9.0,9.0,4.3,OGAS,85.0,1.0
32.0,100.0,"VESTEL 43"" Smart TV | 2/16GB | Ultra Remote | 3 Years Warranty | Free Wall Mount | Google Certified | IPS Panel | FULL HD | 43 Inch Smart Television",32.0,32.0,4.6,VESTEL,83.0,1.0
4.0,98.0,UNO The Classic Playing Card Game,4.0,4.0,4.4,Sansa Store,78.0,15.0
332.0,96.0,boAt NIRVANA ION| Premium Wireless Earbuds | 120 Hrs of Long Playback | 24 Hour of Industry best Bud Battery | Crystal Bionic Sound | Dual EQ Modes,332.0,332.0,5.0,boAt,84.0,1.0
117.0,80.0,Titex White Color Simple Fashionable Sneakers For Women-1202,117.0,117.0,5.0,TITEX,84.0,5.0
53.0,100.0,Winter Fake Skin Transparent High Waist Stretchy Leggings Stockings From Sale Sansar For Women,53.0,53.0,3.6,E-Market,85.0,15.0
1148.0,0.0,Ultima Atom 520 Pro Earbuds With 45Hrs Playtime| Game Mode(60ms)| Quad Mic| IPX5 Rated| Loud Sound & Deep Bass| Type-C Charging Port Wireless Earbuds,1148.0,1148.0,3.6,Ultima Lifestyle,87.0,1.0
39.0,98.0,1Pcs Multicolor stretchable Cloth Drying Rope With Clip,39.0,39.0,3.6,The Best Price Online,79.0,15.0
74.0,80.0,Titex Pink Color Simple Fashionable Sneakers For Women-1105,74.0,74.0,4.1,TITEX,84.0,2.0
2.0,80.0,Titex Black Color Simple Design Flat Sandal For Women (Art No:2-601),2.0,2.0,4.3,TITEX,84.0,5.0
13.0,100.0,Taffeta Black Double Layer Windcheater Jacket For Men,13.0,13.0,4.5,Fashion_House,71.0,10.0
90.0,98.0,Fancy Bird Fork Stand,90.0,90.0,4.2,BfYmYB9v,80.0,5.0
9.0,99.0,Thongs Underwear Panties Women Lace Underwear Sexy Breathable Hipster Panty Stretch Hollow Seamless Bikini Briefs (Crochet Lace Up Korean Panties),9.0,9.0,4.2,Savyata Stores,82.0,15.0
96.0,94.0,Shopmee Men's  Drill Twill Formal Beige Pant,96.0,96.0,4.2,Shop Mee,75.0,15.0
8.0,100.0,"Philips HL7756/00 Mixer Grinder 750 Watt, 3 Stainless Steel Multipurpose Jars with 3 Speed Control and Pulse function (Black)",8.0,8.0,4.2,DT,85.0,1.0
6.0,100.0,Hallow Fiber Half Sleeve Jacket For Men,6.0,6.0,4.1,Zeepas online store,70.0,2.0
65.0,100.0,3 in 1 Wooden Educational Board,65.0,65.0,4.1,Nepal Toys Store,78.0,15.0
855.0,0.0,"Ultima Watch Circle| 1.43"" Amoled Display |BT Calling Smartwatch| IP68 Waterproof| Zinc Alloy Metal Frame Smart watch",855.0,855.0,4.1,Ultima Lifestyle,87.0,1.0
90.0,100.0,LCD Writing Tab 8.5 Inch With Pen Writing Pad,90.0,90.0,4.4,Nepal Toys Store,78.0,15.0
209.0,96.0,The Ordinary Niacinamide 10% Zinc 1% Serum 30 ML,209.0,209.0,0.0,Allure Cosmetics,87.0,10.0
3.0,98.0,Mx pro+ 4 IN 1 Mobile Gaming Accessories Combo Pack | Gaming Essentials,3.0,3.0,4.4,Sasto Gadgets And Accessories,78.0,1.0
46.0,100.0,"Baba's Nappy Baby Pull Up Diaper Economic Pack, Small (Pack of 54)",46.0,46.0,4.5,Baba's Nappy,88.0,8.0
56.0,93.0,Astaberry Neem & Aloe Face Wash - 100ml,56.0,56.0,4.5,Astaberry Bioscience,87.0,15.0
16.0,98.0,Momo Jali Net silicone mat 3 Pieces 36 CM,16.0,16.0,4.5,WOW'S ONLINE,76.0,15.0
